Time,Open,High,Low,Close,Volume
2019-12-24T07:00:00.000000000Z,1.10876,1.10889,1.10805,1.10853,539
2019-12-24T08:00:00.000000000Z,1.10851,1.10880,1.10820,1.10840,535
2019-12-24T09:00:00.000000000Z,1.10838,1.10852,1.10751,1.10751,566
2019-12-24T10:00:00.000000000Z,1.10749,1.10772,1.10706,1.10723,432
2019-12-24T11:00:00.000000000Z,1.10725,1.10752,1.10691,1.10736,488
2019-12-24T12:00:00.000000000Z,1.10740,1.10848,1.10729,1.10832,338
2019-12-24T13:00:00.000000000Z,1.10834,1.10852,1.10762,1.10782,579
2019-12-24T14:00:00.000000000Z,1.10784,1.10833,1.10778,1.10818,419
2019-12-24T15:00:00.000000000Z,1.10816,1.10900,1.10802,1.10900,546
2019-12-24T16:00:00.000000000Z,1.10902,1.10934,1.10844,1.10844,308
2019-12-24T17:00:00.000000000Z,1.10846,1.10878,1.10828,1.10878,250
2019-12-24T18:00:00.000000000Z,1.10876,1.10879,1.10824,1.10864,504
2019-12-24T19:00:00.000000000Z,1.10867,1.10878,1.10841,1.10865,133
2019-12-24T20:00:00.000000000Z,1.10862,1.10866,1.10815,1.10856,109
2019-12-24T21:00:00.000000000Z,1.10853,1.10890,1.10848,1.10882,252
2019-12-25T22:00:00.000000000Z,1.10882,1.10938,1.10882,1.10916,39
2019-12-25T23:00:00.000000000Z,1.10914,1.10952,1.10904,1.10947,103
2019-12-26T00:00:00.000000000Z,1.10945,1.10950,1.10892,1.10894,125
2019-12-26T01:00:00.000000000Z,1.10896,1.10922,1.10882,1.10912,141
2019-12-26T02:00:00.000000000Z,1.10910,1.10930,1.10899,1.10926,85
2019-12-26T03:00:00.000000000Z,1.10928,1.10942,1.10904,1.10904,66
2019-12-26T04:00:00.000000000Z,1.10902,1.10912,1.10885,1.10894,49
2019-12-26T05:00:00.000000000Z,1.10896,1.10913,1.10894,1.10901,58
2019-12-26T06:00:00.000000000Z,1.10901,1.10902,1.10862,1.10862,38
2019-12-26T07:00:00.000000000Z,1.10864,1.10918,1.10864,1.10904,110
2019-12-26T08:00:00.000000000Z,1.10906,1.10964,1.10902,1.10936,146
2019-12-26T09:00:00.000000000Z,1.10934,1.10948,1.10917,1.10917,107
2019-12-26T10:00:00.000000000Z,1.10920,1.10920,1.10839,1.10846,144
